Mês/Ano,Região Origem,Estado Origem,Região Destino,Estado Destino,Vendas de Biodiesel
12/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Distrito Federal,1653
12/2021,CENTRO OESTE,Goiás,CENTRO OESTE,Goiás,63054
12/2021,CENTRO OESTE,Goiás,NORDESTE,Maranhão,6982
12/2021,CENTRO OESTE,Goiás,NORDESTE,Rio Grande do Norte,610
12/2021,CENTRO OESTE,Goiás,NORDESTE,Sergipe,309
12/2021,CENTRO OESTE,Goiás,NORTE,Pará,6935
12/2021,CENTRO OESTE,Goiás,SUDESTE,São Paulo,140
12/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Distrito Federal,21596
12/2021,CENTRO OESTE,Mato Grosso,CENTRO OESTE,Goiás,4008
12/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Maranhão,3819
12/2021,CENTRO OESTE,Mato Grosso,NORDESTE,Pernambuco,467
12/2021,CENTRO OESTE,Mato Grosso,NORTE,Pará,38664
12/2021,CENTRO OESTE,Mato Grosso,SUDESTE,Minas Gerais,3651
12/2021,CENTRO OESTE,Mato Grosso,SUDESTE,São Paulo,7979
12/2021,CENTRO OESTE,Mato Grosso do Sul,CENTRO OESTE,Distrito Federal,477
12/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,Minas Gerais,9879
12/2021,CENTRO OESTE,Mato Grosso do Sul,SUDESTE,São Paulo,8289
12/2021,CENTRO OESTE,Mato Grosso do Sul,SUL,Santa Catarina,83
12/2021,NORDESTE,Bahia,CENTRO OESTE,Distrito Federal,622
12/2021,NORDESTE,Bahia,NORDESTE,Alagoas,2509
12/2021,NORDESTE,Bahia,NORDESTE,Maranhão,211
12/2021,NORDESTE,Bahia,NORDESTE,Rio Grande do Norte,3507
12/2021,NORDESTE,Bahia,NORDESTE,Sergipe,2785
12/2021,NORDESTE,Bahia,SUDESTE,Minas Gerais,1778
12/2021,NORDESTE,Bahia,SUDESTE,São Paulo,24826
12/2021,NORDESTE,Piauí,NORDESTE,Maranhão,99
12/2021,NORDESTE,Piauí,NORDESTE,Pernambuco,1637
12/2021,NORDESTE,Piauí,NORDESTE,Rio Grande do Norte,483
12/2021,NORDESTE,Piauí,NORTE,Pará,331
12/2021,NORDESTE,Piauí,SUDESTE,São Paulo,1208
12/2021,NORTE,Rondônia,NORTE,Pará,1463
12/2021,NORTE,Tocantins,CENTRO OESTE,Distrito Federal,6108
12/2021,NORTE,Tocantins,CENTRO OESTE,Goiás,113
12/2021,NORTE,Tocantins,NORDESTE,Maranhão,1877
12/2021,NORTE,Tocantins,NORDESTE,Pernambuco,171
12/2021,NORTE,Tocantins,NORTE,Pará,2993
12/2021,NORTE,Tocantins,SUDESTE,Minas Gerais,340
12/2021,NORTE,Tocantins,SUDESTE,São Paulo,607
12/2021,SUDESTE,Minas Gerais,SUDESTE,Minas Gerais,12219
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,Espírito Santo,3197
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,Minas Gerais,1749
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,Rio de Janeiro,3409
12/2021,SUDESTE,Rio de Janeiro,SUDESTE,São Paulo,1656
12/2021,SUDESTE,São Paulo,CENTRO OESTE,Goiás,791
12/2021,SUDESTE,São Paulo,SUDESTE,Espírito Santo,281
12/2021,SUDESTE,São Paulo,SUDESTE,Minas Gerais,2381
12/2021,SUDESTE,São Paulo,SUDESTE,Rio de Janeiro,1039
12/2021,SUDESTE,São Paulo,SUDESTE,São Paulo,5648
12/2021,SUL,Paraná,CENTRO OESTE,Goiás,745
